CASRN	Compound	Hf
13556-55-3	2,2-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-38240
75-18-3	Dimethyl Sulfide	-37200
1590-08-5	1-Methyl-[1,2,3,4-Tetrahydronaphthalene]	-36820
10035-10-6	Hydrogen Bromide	-36440
563-46-2	2-Methyl-1-butene	-36320
591-49-1	1-Methylcyclohexene	-36320
13151-55-8	Ethylcycloheptane	-36110
934-74-7	1,3-Dimethyl-5-ethylbenzene	-35400
538-68-1	n-Pentylbenzene	-33900
488-23-3	1,2,3,4-Tetramethylbenzene	-33050
1758-88-9	1,4-Dimethyl-2-ethylbenzene	-32180
934-80-5	1,2-Dimethyl-4-Ethylbenzene	-32090
646-04-8	trans-2-Pentene	-31760
874-41-9	1,3-Dimethyl-4-ethylbenzene	-30800
563-45-1	3-Methyl-1-butene	-28950
535-77-3	m-Cymene	-28700
627-20-3	cis-2-Pentene	-28070
99-87-6	p-Cymene	-27740
2870-04-4	1,3-Dimethyl-2-Ethylbenzene	-26230
933-98-2	1,2-Dimethyl-3-ethylbenzene	-25650
1074-43-7	1-Methyl-3-n-propylbenzene	-24140
624-92-0	2,3-Dithiabutane	-23600
1074-55-1	1-Methyl-4-n-Propylbenzene	-23140
74-89-5	Methylamine	-22970
527-84-4	o-Cymene	-22670
74-93-1	Methyl Mercaptan	-22600
2146-38-5	1-Ethylcyclopentene	-22430
98-06-6	tert-Butylbenzene	-21630
141-93-5	m-Diethylbenzene	-21000
109-67-1	1-Pentene	-20920
827-52-1	Cyclohexylbenzene	-20920
7704-34-9	Hydrogen Sulfide	-20630
105-05-5	p-Diethylbenzene	-20370
538-93-2	Isobutylbenzene	-20340
1074-17-5	1-Methyl-2-n-propylbenzene	-19780
7524-63-2	2,6-Dimethyl-[1,2,3,4-Tetrahydronaphthalene]	-18200
115-11-7	2-methylpropene (Isobutene)	-16900
135-98-8	sec-Butylbenzene	-16900
22531-20-0	1-Ethyl-[1,2,3,4-Tetrahydronaphthalene]	-16190
108-67-8	1,3,5-Trimethylbenzene (mesitylene)	-15900
135-01-3	o-Diethylbenzene	-15730
2876-51-9	1-n-Octylnaphthalene	-14770
61886-67-7	2-n-Nonylnaphthalene	-14770
95-63-6	1,2,4-Trimethylbenzene (pseudocumene)	-13800
104-51-8	n-Butylbenzene	-13140
624-64-6	trans-2-Butene	-11170
526-73-8	1,2,3-Trimethylbenzene (hemimellitene)	-9500
590-18-1	cis-2-Butene	-6990
110-83-8	Cyclohexene	-5360
622-96-8	p-Ethyltoluene	-3200
620-14-4	m-Ethyltoluene	-1800
767-58-8	5-Methyl-2,3-Dihydroindene	-1130
611-14-3	o-Ethyltoluene	1300
98-82-8	Isopropylbenzene (cumene)	3930
2876-53-1	1-n-Hexylnaphthalene	7280
103-65-1	n-Propylbenzene	7900
10544-72-6	Nitrogen Tetroxide	9080
6709-39-3	2,6-Dimethyl-1,5-Heptadiene	9450
108-38-3	m-Xylene	17320
106-42-3	p-Xylene	18030
95-47-6	o-Xylene	19000
115-07-1	Propylene (propene)	19710
598-61-8	Methylcyclobutane	25270
119-64-2	1,2,3,4-Tetrahydronaphthalene	26610
287-23-0	Cyclobutane	27240
80-56-8	alfa-Pinene	28300
75-01-4	Vinyl Chloride	28450
86-89-5	1-n-Pentylnaphthalene	29330
2876-46-2	2-n-Hexylnaphthalene	29330
100-41-4	Ethylbenzene	29790
10097-32-2	Bromine	30910
2511-95-7	cis-1,2-Dimethylcyclopropane	31130
142-29-0	Cyclopentene	32930
10102-44-0	Nitrogen Dioxide	33100
127-91-3	Beta-Pinene	38700
764-93-2	1-Decyne	41210
513-81-5	2,3-Dimethyl-1,3-Butadiene	42340
4974-27-0	2,6-Octadiene	46190
4806-61-5	Ethylcyclobutane	46730
108-88-3	Toluene	50170
74-85-1	Ethylene (ethene)	52280
1191-96-4	Ethylcyclopropane	52590
75-19-4	Cyclopropane	53450
2765-18-6	1-n-Propylnaphthalene	61210
571-58-4	1,4-Dimethylnaphthalene	61210
3452-09-3	1-Nonyne	61800
28823-41-8	2-Methyl-2,4-Hexadiene	62720
7417-48-3	3-Methyl-1,2-Pentadiene	68540
594-11-6	Methylcyclopropane	73310
573-98-8	1,2-Dimethylnaphthalene	73430
643-58-3	1-Methyl-2-Phenylbenzene	73680
75-05-8	Acetonitrile	74040
78-79-5	2-Methyl-1,3-Butadiene (isoprene)	75750
504-60-9	trans-1,3-Pentadiene	75840
10024-97-2	Nitrous Oxide	82040
629-05-0	1-Octyne	82420
1574-41-0	cis-1,3-Pentadiene	82780
71-43-2	Benzene	82930
592-42-7	1,5-Hexadiene	84440
536-74-3	Phenylacetylene	84770
1134-62-9	2-n-Butylnaphthalene	85670
1634-09-9	1-n-Butylnaphthalene	85670
2039-93-2	1-Ethyl-3-Ethenyl Benzene	85810
693-89-0	1-Methylcyclopentene	85820
62-53-3	Aniline	86860
767-59-9	1-Methylindene	90250
10102-43-9	Nitric Oxide	90260
4049-81-4	2-Methyl-1,5-Hexadiene	101840
628-71-7	1-Heptyne	103010
591-93-5	1,4-Pentadiene	106380
2698-14-8	1-Methyl-4-(trans-1-n-Propenyl)Benzene	106610
110-66-7	1-Pentanethiol	109790
106-99-0	1,3-Butadiene	110300
300-57-2	2-Propenyl benzene	112970
612-00-0	1,1-Diphenylethane	116000
5814-85-7	1,2-Diphenylpropane	116110
91-57-6	2-Methylnaphthalene	116110
90-12-0	1-Methylnaphthalene	116860
75-15-0	Carbon Disulfide	117070
637-50-3	trans-1-Propenyl benzene	117150
766-90-5	cis-1-Propenyl benzene	121330
693-02-7	1-Hexyne	123640
2177-47-1	2-Methylindene	125360
77-73-6	Dicyclopentadiene	126020
627-21-4	2-Pentyne	128870
598-25-4	3-Methyl-1,2-Butadiene	129080
542-92-7	Cyclopentadiene	130800
591-96-8	2,3-Pentadiene	133070
74-90-8	Hydrogen Cyanide	135170
598-23-2	3-Methyl-1-Butyne	136400
