CASRN	Chemical	Tc	Pc	Vc	omega
2131-42-2	1,4,6-trimethylnaphthalene	776.9	2671000	0.0005775	0.492
2131-43-3	1,2,5,6-tetramethylnaphthalene	810.54	2389000	0.0006335	0.535
2141-58-4	cis-dicyano-1-butene	796	2950000	0.000392	0.664
2141-59-5	trans-dicyano-1-butene	766	2950000	0.000392	0.659
21411-42-7	2,4,6-trimethylbenzyl mercaptan	755	3200000	0.0005247	
2146-38-5	1-ethylcyclopentene	578.4	3569000	0.0003545	0.27
21472-86-6	1,2,3-trichloro-5-methylbenzene	737	3340000	0.000447	0.26
2150-02-9	2,2'-oxydiethanethiol	720	3690000	0.000378	0.419
2150-18-7	2-ethyl-4-methylpyridine	653	3330000	0.000417	0.376
21508-07-6	2,3-heptanediol	660.11	3501000	0.0004535	1.212
21531-91-9	1,3-hexanediol	664.48	3897000	0.0004035	1.214
21542-96-1	dimethyldocosylamine	824.83	824000	0.0014175	0.737
2156-96-9	decyl acrylate	716	1900000	0.0007174	
21564-91-0	1,2,3,4-tetrahydro-1,5-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
21564-92-1	1,2,3,4-tetrahydro-2,3-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
2157-31-5	2,2-dimethyl-1,3-pentanediol	636.17	3547000	0.0004485	1.141
21570-35-4	2-methyl-4-heptanol	593.34	2835000	0.0004905	0.773
