CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
108-20-3	Diisopropyl ether	C6H14O	341.55	29100	32120
108-21-4	Isopropyl acetate	C5H10O2	361.85	32930	37200
108-24-7	Acetic anhydride	C4H6O3	412.65	38200	
108-38-3	m-Xylene	C8H10	412.22	35660	42650
108-39-4	m-Cresol	C7H8O	475.42	47400	61710
108-44-1	3-Methylaniline	C7H9N	476.45	44900	
108-47-4	2,4-Dimethylpyridine	C7H9N	431.53	38530	47490
108-48-5	2,6-Dimethylpyridine	C7H9N	417.16	37460	45340
108-59-8	Dimethyl malonate	C5H8O4	454.55		57500
108-64-5	Ethyl 3-methylbutanoate	C7H14O2	408.15	37000	
108-67-8	1,3,5-Trimethylbenzene	C9H12	437.89		47500
108-68-9	3,5-Xylenol	C8H10O	494.89		82010
108-75-8	2,4,6-Trimethylpyridine	C8H11N	443.75	39870	50330
108-82-7	2,6-Dimethyl-4-heptanol	C9H20O	447.65		65170
108-83-8	2,6-Dimethyl-4-heptanone	C9H18O	442.55		50920
108-86-1	Bromobenzene	C6H5Br	429.21		44540
108-87-2	Methylcyclohexane	C7H14	374.08	31270	35360
108-88-3	Toluene	C7H8	383.78	33180	38010
108-89-4	4-Methylpyridine	C6H7N	418.51	37510	44560
108-90-7	Chlorobenzene	C6H5Cl	404.87	35190	40970
108-91-8	Cyclohexylamine	C6H13N	407.15	36140	43670
108-93-0	Cyclohexanol	C6H12O	433.99		62010
108-94-1	Cyclohexanone	C6H10O	428.58		45060
108-95-2	Phenol	C6H6O	455.02	45690	57820
108-98-5	Benzenethiol	C6H6S	442.25	39930	47560
108-99-6	3-Methylpyridine	C6H7N	417.29	37350	44440
1081-77-2	Nonylbenzene	C15H24	553.65		74100
109-06-8	2-Methylpyridine	C6H7N	402.53	36170	42480
109-52-4	Pentanoic acid	C5H10O2	459.25	44100	
109-60-4	Propyl acetate	C5H10O2	374.45	33920	39720
109-64-8	1,3-Dibromopropane	C3H6Br2	440.45		47450
109-65-9	1-Bromobutane	C4H9Br	374.75	32510	36640
109-66-0	Pentane	C5H12	309.21	25790	26430
109-67-1	1-Pentene	C5H10	303.11	25200	25470
109-69-3	1-Chlorobutane	C4H9Cl	351.55	30390	33510
109-73-9	Butylamine	C4H11N	350.15	31810	35720
109-74-0	Butanenitrile	C4H7N	390.75	33680	39330
109-76-2	1,3-Propanediamine	C3H10N2	412.95	40850	50160
109-79-5	1-Butanethiol	C4H10S	371.65	32230	36630
109-80-8	1,3-Propanedithiol	C3H8S2	446.05		49660
109-86-4	2-Methoxyethanol	C3H8O2	397.25	37540	45170
109-89-7	Diethylamine	C4H11N	328.65	29060	31310
109-92-2	Ethyl vinyl ether	C4H8O	308.65	26200	
109-94-4	Ethyl formate	C3H6O2	327.55	29910	31960
109-97-7	Pyrrole	C4H5N	402.94	38750	45090
