CASRN	Name	Formula	A	B	C	Tmin	Tmax
123-51-3	3-Methyl-1- butanol (optically active) 	C5H12O 	-2.775	-841.12	46.485	270	410
598-75-4	3-Methyl-2- butanol 	C5H12O 	-1.8491	-313.81	169.58	290	380
598-55-0	Methyl carbamate 	C2H5NO 	-1.3167	-280.14	166.4	320	370
96-30-0	n - Methyl - 2 - chloro acetamide 	C3H6ClO 	-1.4456	-371.19	140.22	320	350
108-87-2	Methyl cyclo hexane 	C7H14 	-1.5348	-319.07	64.712	270	380
583-59-5	2-Methyl cyclo hexanol 	C7H14O 	-1.6708	-304.32	191.82	290	370
591-23-1	3 - Methyl cyclo hexanol 	C7H14O 	-2.9247	-797.76	107.35	290	370
589-91-3	4 - Methyl cyclo hexanol 	C7H14O 	-2.4635	-558.96	158	310	370
583-60-8	2 - Methyl cyclo hexanone 	C7H12O 	-0.8722	-133.01	172.45	280	340
591-24-2	3 - Methyl cyclo hexanone 	C7H12O 	-0.7405	-97.894	194.36	280	340
589-92-4	4 - Methyl cyclo hexanone 	C7H12O 	-0.8959	-145	165.5	280	370
96-37-7	Methyl cyclo pentane 	C6H12 	-2.5016	-940.03	132.64	240	330
552-82-9	Methyl diphenyl amine 	C13H13N 	-0.8079	-170.88	191.05	270	360
24549-06-2	2 - Methyl - 6 - ethyl aniline 	C9H13N 	-1.1038	-214.17	166.71	290	380
107-31-3	Methyl formate 	C2H2O2 	-1.0229	-77.194	155.67	270	310
625-25-2	2-Methyl-2 - heptanol 	C8H18O 	-1.8579	-419.93	121.96	270	380
18720-62-2	2-Methyl- 3 - heptanol 	C8H18O 	-1.8686	-319.77	179.53	270	380
21570-35-4	2-Methyl- 4 - heptanol 	C8H18O 	-2.3181	-471.17	149.48	270	380
18720-66-6	2-Methyl -5 - heptanol 	C8H18O 	-1.8874	-430.45	86.77	270	380
87077-20-1	2-Methyl - 7 -heptanol 	C8H18O 	-2.307	-637.23	99.314	270	380
1070-32-2	3-Methyl -1 - heptanol 	C8H18O 	-1.848	-455.08	83.39	270	380
31367-46-1	3- Methyl -2 -heptanol 	C8H18O 	-1.639	-334.29	116.43	270	380
5582-82-1	3- Methyl -3 -heptanol 	C8H18O 	-1.791	-307.09	173.98	270	380
1838-73-9	3 - Methyl - 4 - heptanol 	C8H18O 	-1.6737	-326.66	130.98	270	380
18720-65-5	3-Methyl -5 - heptanol 	C8H18O 	-1.6993	-369.64	89.383	270	380
14979-39-6	4-Methyl- 3 - heptanol 	C8H18O 	-1.6307	-325.82	102.6	270	380
625-23-0	2-Methyl - 2 - hexanol 	C7H16O 	-1.8188	-322.52	165.66	300	410
99-76-3	Methyl - 4 - hydroxy benzoate 	C8H8O3 	-1.651	-501.3	184.86	410	570
25360-10-5	2 - Methyl octane - 2 - thiol 	C9H20S 	-1.5357	-308.54	106.32	280	330
19836-78-3	3 - Methyl - 2 – oxazolidinone 	C4H7NO2 	-1.5133	-469.69	52.128	270	340
1072-70-4	5 - Methyl -2 – oxazolidinone 	C4H7NO2 	-1.2193	-323.59	167.86	270	340
107-83-5	2 - Methyl pentane 	C6H14 	-2.4697	-862.57	-149.9	270	330
763-29-1	2 - Methyl - 1 - pentene 	C6H12 	0.4316	-236.49	536.99	290	330
75-66-1	2 - Methyl - 2 - propane thiol 	C4H10S 	-1.726	-342.8	68.37	280	320
