CASRN	Chemical	Tm	Tb	rho
12035-83-5	Plutonium(II) oxide			14000
12035-98-2	Vanadium(II) oxide	2063.15		5758
12036-02-1	Osmium(IV) oxide			11400
12036-09-8	Rhenium(IV) oxide			11400
12036-10-1	Ruthenium(IV) oxide			7050
12036-14-5	Tantalum(IV) oxide			10000
12036-21-4	Vanadium(IV) oxide	1818.15		4339
12036-22-5	Tungsten(IV) oxide		2003.15	10800
12036-32-7	Praseodymium(III) oxide	2456.15	4033.15	6900
12036-34-9	Plutonium(III) oxide	2358.15		10500
12036-35-0	Rhodium(III) oxide			8200
12036-39-4	Strontium zirconate	2873.15		
12036-41-8	Terbium(III) oxide	2576.15		7910
12036-44-1	Thulium(III) oxide	2614.15	4218.15	8600
12037-15-9	Uranium(IV,V) oxide			11200
12037-65-9	Titanium phosphide	2263.15		4080
12037-80-8	Zirconium phosphide			5100
12037-82-0	Phosphorus heptasulfide	581.15	796.15	2190
12038-12-9	Praseodymium(III) telluride	1773.15		7000
12038-13-0	Praseodymium(III) sulfide	2038.15		5100
12038-20-9	Platinum(II) sulfide			10250
12038-21-0	Platinum(IV) sulfide			7850
12038-63-0	Rhenium(IV) sulfide			7600
12038-66-3	Rhenium(IV) silicide	2273.15		
12038-67-4	Rhenium(VII) sulfide			4870
12039-07-5	Titanium(II) sulfide	2200.15		3850
12039-13-3	Titanium(IV) sulfide			3370
12039-15-5	Zirconium(IV) sulfide	1823.15		3870
12039-16-6	Titanium(III) sulfide			3560
12039-19-9	Yttrium sulfide	2198.15		3870
12039-35-9	Zinc antimonide	838.15		6330
12039-52-0	Thallium selenide (TlSe)	603.15		
12039-55-3	Tantalum(IV) selenide			6700
12039-76-8	Vanadium silicide (V3Si)	2208.15		5700
12039-79-1	Tantalum silicide	2473.15		9140
12039-80-4	Terbium silicide			6660
12039-83-7	Titanium silicide	1773.15		4000
12039-87-1	Vanadium silicide [VSi2]			4420
12039-88-2	Tungsten silicide [WSi2]	2433.15		9300
12039-89-3	Ytterbium silicide			7540
12039-90-6	Zirconium silicide	1893.15		4880
12039-95-1	Tungsten silicide [W5Si3]	2593.15		14400
12040-00-5	Samarium(III) telluride			7310
12040-02-7	Tin(II) telluride	1079.15		6500
12040-08-3	Strontium telluride			4830
12041-50-8	Aluminum diboride			3190
12041-54-2	Aluminum dodecaboride	2343.15		2550
12042-68-1	Calcium aluminate	1878.15		2980
12042-78-3	Calcium aluminate (β form)	1808.15		3040
12043-29-7	Aluminum telluride	1168.15		4500
12044-16-5	Iron arsenide	1303.15		7850
12044-42-7	Cobalt arsenide [CoAs2]			7200
12044-49-4	Magnesium arsenide	1473.15		3150
12044-54-1	Arsenic(III) telluride	648.15		6500
12045-01-1	Cobalt boride (Co2B)	1553.15		8100
12045-15-7	Manganese boride (MnB)	2163.15		6450
12045-16-8	Manganese boride (Mn2B)	1853.15		7200
12045-19-1	Niobium boride (NbB)	2543.15		7500
12045-27-1	Vanadium boride (VB)	2523.15		
12045-63-5	Titanium boride	3193.15		4380
12045-64-6	Zirconium boride	3323.15		6170
12045-87-3	Sodium tetraborate tetrahydrate			1950
12045-88-4	Sodium tetraborate pentahydrate			1880
12046-08-1	Barium hexaboride	2343.15		4360
12046-54-7	Strontium hexaboride	2508.15		3390
12047-27-7	Barium titanate [BaTiO3]	1898.15		6020
12047-79-9	Barium nitride			4780
12048-50-9	Bismuth tetroxide	578.15		5600
12048-51-0	Bismuth titanate			7850
12049-50-2	Calcium titanate	2253.15		3980
12052-42-5	Cobalt antimonide	1475.15		8800
12053-12-2	Chromium antimonide	1383.15		7110
12053-13-3	Chromium selenide	1773.15		6100
12053-26-8	Magnesium chromite	2663.15		4400
12053-27-9	Chromium nitride (Cr2N)	1923.15		6800
12053-39-3	Chromium(III) telluride	1573.15		7000
12054-48-7	Nickel(II) hydroxide			4100
12054-85-2	Ammonium molybdate(VI) tetrahydrate			2498
12055-23-1	Hafnium(IV) oxide	3073.15	5673.15	9680
12055-62-8	Holmium oxide	2688.15	4173.15	8410
12056-90-5	Lanthanum silicide	1793.15		5000
12057-24-8	Lithium oxide	1711.15		2013
12057-71-5	Magnesium nitride			2710
12057-74-8	Magnesium phosphide			2060
12057-75-9	Magnesium antimonide	1518.15		3990
12057-92-0	Manganese(VII) oxide	279.05		2400
12058-18-3	Molybdenum(IV) selenide			6900
12058-20-7	Molybdenum(IV) telluride			7700
12059-14-2	Nickel silicide (Ni2Si)	1528.15		7400
12059-95-9	Plutonium(IV) oxide	2663.15		11500
12060-00-3	Lead(II) titanate			7900
12060-01-4	Lead(II) zirconate			8000
12060-08-1	Scandium oxide	2762.15		3864
12060-58-1	Samarium(III) oxide	2608.15	4053.15	7600
12060-59-2	Strontium titanate	2353.15		5100
12061-16-4	Erbium oxide	2691.15	4193.15	8640
12062-24-7	Copper(II) hexafluorosilicate tetrahydrate			2560
12063-56-8	Yttrium iron oxide	1828.15		
12063-98-8	Gallium phosphide	1730.15		4138
12064-03-8	Gallium antimonide	985.15		5613.7
12064-62-9	Gadolinium(III) oxide	2698.15	4173.15	7410
12065-10-0	Germanium(II) selenide	948.15		5600
12065-11-1	Germanium(IV) selenide			4560
12065-65-5	Titanium(III,IV) oxide	2050.15		4240
12065-68-8	Lead(II) tantalate			7900
12066-83-0	Praseodymium silicide	1985.15		5460
12067-00-4	Rhenium(IV) telluride			8500
12067-22-0	Samarium(III) sulfide	1993.15		5870
12067-46-8	Tungsten(IV) selenide			9200
12067-54-8	Thorium silicide	2123.15		7900
12067-66-2	Tantalum(IV) telluride			9400
12067-76-4	Tungsten(IV) telluride	1293.15		9430
12067-99-1	Phosphotungstic acid	362.15		
12068-40-5	Lithium aluminum silicate	1703.15		3188
12068-49-4	Iron(II) aluminate			4300
12068-51-8	Magnesium aluminate	2378.15		3550
12068-69-8	Bismuth selenide			7500
12068-90-5	Mercury(II) telluride	946.15		8630
12069-00-0	Lead(II) selenide	1351.15		8100
12069-32-8	Boron carbide	2623.15		2500
12069-69-1	Copper(II) carbonate hydroxide			4000
12069-85-1	Hafnium carbide	3273.15		12200
12069-89-5	Molybdenum carbide (Mo2C)	2960.15		9180
12069-94-2	Niobium carbide (NbC)	3881.15	4573.15	7820
12070-06-3	Tantalum carbide	4153.15	5053.15	14300
12070-07-4	Tantalum carbide (Ta2C)	3600.15		15100
12070-08-5	Titanium carbide	3340.15		4930
12070-09-6	Uranium carbide	3063.15		
12070-10-9	Vanadium carbide (VC)	3083.15		5770
12070-12-1	Tungsten carbide	3058.15		15600
